Make,Number.of.Engines,Weather.Condition,Broad.phase.of.flight,total_passengers,injury_rate,is_destroyed,Make_Model
Boeing,4,VMC,Taxi,588.0,0.0,0.0,Boeing — 747
Piper,1,IMC,Cruise,2.0,1.0,1.0,Piper — PA-28-140
De Havilland,2,VMC,Standing,5.0,0.2,,De Havilland — DHC-6
Boeing,3,VMC,Taxi,100.0,0.0,0.0,Boeing — 727-200
Beech,1,VMC,Climb,1.0,0.0,0.0,Beech — C35
Cessna,1,VMC,Takeoff,1.0,0.0,0.0,Cessna — 180K
Beech,2,VMC,Landing,1.0,0.0,0.0,Beech — 99
Piper,2,VMC,Approach,4.0,0.0,0.0,Piper — PA-23-250
Piper,1,VMC,Maneuvering,1.0,1.0,1.0,Piper — PA-18-150
Cessna,1,VMC,Approach,1.0,0.0,0.0,Cessna — R172E
Cessna,1,VMC,Maneuvering,1.0,1.0,1.0,Cessna — 182A
Cessna,1,VMC,Maneuvering,2.0,0.5,1.0,Cessna — 182Q
Cessna,2,VMC,Approach,1.0,1.0,1.0,Cessna — T303
Cessna,1,VMC,Takeoff,6.0,0.3333333333333333,1.0,Cessna — 152
Cessna,2,VMC,Landing,4.0,0.0,0.0,Cessna — 441
Cessna,1,VMC,Takeoff,17.0,1.0,1.0,Cessna — 208
Piper,2,VMC,Landing,2.0,0.0,0.0,Piper — PA-23-250
Grumman,1,VMC,Descent,2.0,1.0,1.0,Grumman — G164A
Grumman,1,VMC,Standing,2.0,1.0,1.0,Grumman — G164A
Cessna,1,VMC,Descent,3.0,0.6666666666666666,1.0,Cessna — TU206F
Cessna,1,VMC,Maneuvering,3.0,0.6666666666666666,1.0,Cessna — 152
Grumman,2,VMC,Descent,69.0,0.0,,Grumman — F-14A
Mooney,1,VMC,Maneuvering,10.0,1.0,1.0,Mooney — M-20C
Boeing,4,,,135.0,0.007407407407407408,,Boeing — 707-323B
Piper,,VMC,Landing,1.0,0.0,0.0,Piper — PA 16
Piper,,,,1.0,1.0,1.0,Piper — PA-38
Beech,2,IMC,Cruise,5.0,0.0,0.0,Beech — B90
